,city,lat,lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,date
1,ushuaia,-54.8,-68.3,42.46,81,40,26.46,AR,1653946067
2,lebu,-37.6167,-73.65,45.03,74,0,12.59,CL,1653946647
3,mar del plata,-38.0023,-57.5575,46.09,54,40,7.0,AR,1653946119
4,rikitea,-23.1203,-134.9692,74.26,78,41,8.88,PF,1653946264
5,mataura,-46.1927,168.8643,52.48,85,100,3.96,NZ,1653946265
6,urucara,-2.5364,-57.76,75.6,94,97,1.81,BR,1653946648
7,arraial do cabo,-22.9661,-42.0278,73.26,88,0,2.3,BR,1653946478
8,butaritari,3.0707,172.7902,81.68,72,46,14.67,KI,1653946335
9,buenos aires,-34.6132,-58.3772,49.95,50,20,4.61,AR,1653946440
10,husavik,66.0449,-17.3389,51.82,64,5,6.87,IS,1653946648
11,kaitangata,-46.2817,169.8464,53.47,79,100,4.25,NZ,1653946333
12,nikolskoye,59.7035,30.7861,57.09,73,100,5.17,RU,1653946334
13,albany,42.6001,-73.9662,87.93,49,58,8.46,US,1653946085
14,busselton,-33.65,115.3333,51.64,87,0,7.76,AU,1653946341
15,mormugao,15.4,73.8,83.46,74,40,9.22,IN,1653946649
16,punta arenas,-53.15,-70.9167,44.71,76,0,18.41,CL,1653946072
17,hilo,19.7297,-155.09,88.29,69,75,12.66,US,1653946614
18,fortuna,40.5982,-124.1573,60.93,65,20,18.41,US,1653946289
19,liverpool,53.4106,-2.9779,52.14,91,75,3.44,GB,1653946650
20,bethel,41.3712,-73.414,88.34,54,0,9.22,US,1653946263
21,mahebourg,-20.4081,57.7,73.69,73,75,14.97,MU,1653946650
22,port macquarie,-31.4333,152.9167,59.9,55,39,15.28,AU,1653946483
23,bredasdorp,-34.5322,20.0403,56.68,71,58,12.21,ZA,1653946412
24,esperance,-33.8667,121.9,56.53,76,100,11.61,AU,1653946342
25,jamestown,42.097,-79.2353,85.51,49,0,10.36,US,1653946189
26,ilulissat,69.2167,-51.1,37.42,70,20,10.36,GL,1653946651
27,barrow,71.2906,-156.7887,30.22,80,100,8.05,US,1653946264
28,carnarvon,-24.8667,113.6333,62.38,58,99,17.31,AU,1653946652
29,norman wells,65.282,-126.8329,69.84,32,40,13.8,CA,1653946652
30,churapcha,62.0025,132.4325,46.42,86,100,8.34,RU,1653946652
31,surt,31.2089,16.5887,77.59,43,38,14.36,LY,1653946653
32,torbay,47.6666,-52.7314,63.37,42,100,14.97,CA,1653946533
33,ixtapa,20.7,-105.2,83.43,65,0,13.8,MX,1653946653
34,kapaa,22.0752,-159.319,80.58,75,0,10.36,US,1653946265
35,itarema,-2.9248,-39.9167,77.88,88,38,11.92,BR,1653946653
36,krasnoselkup,65.7,82.4667,37.06,78,14,19.55,RU,1653946654
37,ila,63.4305,10.3705,59.0,64,99,8.75,NO,1653946654
38,mahajanga,-15.7167,46.3167,68.02,73,0,3.44,MG,1653946654
39,vaini,-21.2,-175.2,78.96,89,40,9.22,TO,1653946338
40,adrar,20.5022,-10.0711,90.37,16,42,9.51,MR,1653946655
41,linxia,35.6003,103.2064,54.07,66,98,3.85,CN,1653946655
42,new norfolk,-42.7826,147.0587,40.5,89,100,1.61,AU,1653946413
43,lamar,33.6668,-95.5836,92.98,55,75,18.41,US,1653946655
44,vila velha,-20.3297,-40.2925,76.95,87,0,10.36,BR,1653946709
45,carutapera,-1.195,-46.02,76.03,91,16,6.8,BR,1653946716
46,hithadhoo,-0.6,73.0833,83.32,69,62,12.93,MV,1653946265
47,saskylakh,71.9167,114.0833,22.01,98,99,2.26,RU,1653946408
48,hobart,-42.8794,147.3294,40.86,91,0,3.44,AU,1653946332
49,isangel,-19.55,169.2667,82.51,83,40,2.3,VU,1653946716
50,lavrentiya,65.5833,-171.0,39.54,84,90,4.41,RU,1653946717
51,xichang,27.8964,102.2634,61.88,86,99,0.76,CN,1653946717
52,asino,56.9979,86.1452,51.84,87,4,12.88,RU,1653946717
53,mosetse,-20.75,26.65,62.29,50,23,12.62,BW,1653946718
54,longyearbyen,78.2186,15.6401,39.04,93,40,13.8,SJ,1653946718
55,port blair,11.6667,92.75,81.36,85,94,13.47,IN,1653946718
56,atuona,-9.8,-139.0333,78.06,76,64,12.12,PF,1653946409
57,bud,39.447,-86.1758,87.91,55,70,13.47,US,1653946719
58,sept-iles,50.2001,-66.3821,55.92,36,75,12.66,CA,1653946719
59,east london,-33.0153,27.9116,57.65,50,100,6.29,ZA,1653946047
60,touros,-5.1989,-35.4608,78.19,87,18,8.93,BR,1653946489
61,terrace,54.5163,-128.6035,71.51,35,75,5.75,CA,1653946709
62,tiksi,71.6872,128.8694,29.28,92,100,14.03,RU,1653946259
63,ostrovnoy,68.0531,39.5131,35.22,88,30,6.31,RU,1653946720
